title,body
كرة السلة الأمريكية,"نجح لوس أنجلوس كليبرز في الفوز على دنفر ناجيتس في سلسلة الدور الأول من الأدوار الإقصائية للقسم الغربي من دوري كرة السلة الأمريكية NBA.
وفاز كليبرز ليعادل السلسلة وتصبح نتيجتها 1-1، وذلك بعدما انتصر بنتيجة 105-102.
وشهدت المباراة تألق كواي ليونارد نجم لوس أنجلوس كليبرز الذي سجل 39 نقطة.
على الجانب الآخر سجل نيكولا يوكيتش نجم دنفر ناجيتس 26 نقطة.
في مباراة أخرى في القسم الشرقي نجم ديتوريت بيستينز في معادلة السلسلة مع منافسه نيويورك نيكس بالفوز عليه بنتيجة 100-94، لتصبح السلسلة نتيجهتها 1-1.
وتألق كيد كانينجهام نجم ديترويت وسجل 33 نقطة، وأكمل 12 متابعة.
بينما سجل جالين برونسون نجم نيويورك نيكس 37 نقطة في المباراة."
الكرة المصرية,"يرغب الاتحاد المصري لكرة القدم في إسناد مباراة الزمالك وبيراميدز في نهائي كأس مصر لطاقم تحكيم مصري.
وحدد اتحاد الكرة يوم 20 مايو المقبل موعجدا لمباراة الزمالك وبيراميدز في نهائي كأس مصر.
وحسبما علمFilGoal.comفإن اتحاد الكرة يرغب في إسناد مباراة الزمالك وبيراميدز في نهائي كأس مصر لطاقم تحكيم مصري، لكنه لا يمانع استقدام طاقم أجنبي حال طلب أحد الناديين ودفع القيمة المالية.
وعلمFilGoal.comفي وقت سابق أن بيراميدز قد تقدم باعتراض على موعد المباراة لعدم تكافؤ الفرص، إذا سيحصل الزمالك على راحة لمدة 7 أيام بينما يخوض بيراميدز مباراة في الدوري يوم 17 مايو.
ويتلقي بيراميدز مع بتروجت يوم 17 مايو في الدوري، بينما يلعب الزمالك مباراه الأخيرة ضد بيراميدز يوم 13 في الدوري قبل مواجهته من جديد في الكأس.
وتأهل الزمالك وبيراميدز لنهائي كأس مصر 2024-25، بالتفوق على سيراميكا كليوباترا والبنك الأهلي على الترتيب.
وكشف اتحاد الكرة عبر حسابه الرسمي عن إقامة المباراة يوم 20 مايو.
وذكر الاتحاد أنه سيتم تحديد ملعب المباراة وكافة الترتيبات في وقت لاحق.
ويأتي تحديد ذلك الموعد بعد خروج الزمالك وبيراميدز من دور المجموعات لبطولة كأس عاصمة مصر (كأس الرابطة).
ومن المقرر أن يقام إياب ربع نهائي كأس العاصمة يوم 20 و21 مايو.
وكان مصدر من اتحاد الكرة كشف سابقا عن تأخر موعد الإعلان لـFilGoal.com: ""لم نحدد موعد نهائي كأس مصر لعدة أسباب أبرزها معرفة موقف بيراميدز من المشاركة القارية"".
وتأهل بيراميدز إلى نصف نهائي دوري أبطال إفريقيا لمواجهة أورلاندو بايرتس الجنوب إفريقي.
ويلتقي بيراميدز أمام أورلاندو بايرتس في ذهاب نصف نهائي الكأس يوم السبت 19 إبريل، قبل خوض مواجهة الإياب يوم الجمعة 25 إبريل.
ويقام نهائي دوري أبطال إفريقيا يومي 24 مايو و1 يونيو.
وفي حالة تأهل بيراميدز إلى المباراة النهائية سيلتقي أمام الفائز من مواجهة الأهلي أمام صنداونز الجنوب إفريقي.
وفي مسابقة الدوري، من المنتظر أن ينهي بيراميدز مشواره في الدوري المصري بلقاء سيراميكا كليوباترا يوم 28 مايو المقبل.
بينما يختتم الزمالك موسمه بلقاء فاركو في الأول من يونيو المقبل."
الكرة الإفريقية,"أكد نادي بيراميدز أن ثنائي الفريق رمضان صبحي وفيستون ماييلي لم يتعرض للطرد عقب مباراة أورلاندو بايرتس الجنوب إفريقي.
وقال المصدرلـFilGoal.com:""لم يتم طرد رمضان صبحي أو فيستون ماييلي عقب مباراة أورلاندو"".
وأضاف ""الثنائي حصل على إنذار فقط وهذا ما تم تسجيله في تقرير الحكم"".
وتعادل بيراميدز مع منافسه أورلاندو بايرتس بدون أهداف في المباراة التي جمعتهما في ذهاب دور نصف النهائي من بطولة دوري أبطال إفريقيا.
وأقيمت المباراة على ملعب سوكر سيتي في جنوب إفريقيا.
وشهدت المباراة إثارة كبيرة من بيراميدز الذي سجل هدفين عن طريق فيستون ماييلي وصديق أوجولا لكن لم يحتسبا.
ويلعب بيراميدز ضد أورلاندو بايرتس يوم الجمعة المقبل الموافق 25 أبريل الجاري في مباراة العودة لنصف نهائي دوري أبطال إفريقيا.
وتنطلق المباراة في تمام الساعة التاسعة مساء بتوقيت القاهرة."
كرة يد,"كشف نادي الزمالك عن أسباب رحيل ماركو ماركيس مدرب حراس مرمى فريق اليد الذي نشر رسالة غامضة بشأن رحيله عن مصر.
وأوضح الزمالك أن مدرب حراس المرمى قد وقع على مخالصة مالية بعد إنهاء تعاقده بشكل ودي.
وكشف شريف صفوت المنسق العام لشؤون المدربين واللاعبين الأجانب بنادي الزمالك في تصريحاته صحفية: ""ماركو ماركيس فسخ تعاقده بالتراضي"".
وتابع ""النادي جهّز تذاكر الطيران للمدرب ذهابا وإيابا بتاريخ 30 مايو وهو موعد نهاية تعاقده، لكن المدرب فاجأ الجميع بطلب فسخ العقد مبكرا بسبب ظروف أسرية"".
وأضاف ""ماركيس طلب تعديل موعد رحيله عن مصر قبل نهاية عقده، وهو ما كان سيكلف خزينة النادي نحو 70 ألف جنيه، وهو ما رفضه النادي، مطالباً المدرب بتحمل تكلفة التعديل على نفقته الخاصة، الأمر الذي قوبل بالرفض"".
واختتم صفوت تصريحاته ""ماركيس رفض حضور مباراة الزمالك والأهلي في نهائي الكأس رغم تواجده في مصر وتم رفع الأمر إلى مجلس الإدارة، ويتبقى للمدرب شهر ونصف من مستحقاته المالية، سيتم صرفها بنهاية التعاقد وفقا لما ينص عليه العقد بعد تطبيق الغرامة المالية الموقعة عليه بسبب غيابه عن مواجهة نهائي الكأس"".
ولم ينته موسم الزمالك في كرة اليد إذ يتبقى المنافسة على بطولتي السوبر الإفريقي وكأس الكؤوس الإفريقية.
وكشف ماركوس ماركيس مدرب حراس مرمى الزمالك لكرة اليد عبر حسابه الشخصي ""مشجع أهلاوي ساعدني أنا وعائلتي للوصول بسلام إلى كرواتيا"".
وتابع ""أشكره على ذلك وعندما أتأكد أن عائلتي في أمان سأتحدث عن طل شيء بخصوص الزمالك"".
وكان ماركوس قد انضم إلى الجهاز الفني بقيادة الإسباني فرناندو باربيتو المدير الفني للفريق.
ولم يكشف ماركوس تفاصيل رحيله عن مصر إلى كرواتيا موضحا حديثه في وقت لاحق.
وخسر الزمالك هذا الموسم لقب بطولتي الدوري وكأس مصر أمام الأهلي."
سعودي في الجول,"استبعد ستيفانو بيولي مدرب نادي النصر، البرتغالي كريستيانو رونالدو من مواجهة ضمك.
ويحل النصر ضيفا على ضمك مساء الثلاثاء ضمن الجولة 29 من الدوري السعودي.
واستبعد بيولي، رونالدو بحيب صحيفة الرياضية، تجنا للإرهاق إذ يرتبط الفريق بمواجهة قوية بعد 3 أيام ضد يوكوهاما مارينوس الياباني.
ويلعب النصر ضد يوكوهاما مارينوس اليباني يوم السبت المقبل ضمن ربع نهائي دوري أبطال آسيا للنخبة.
فيما سيعتمد بيولي على الجناحين البرازيليين أنجيلو جابرييل وويسلي أمام ضمك في غياب رونالدو.
ويحتل نادي النصر المركز الثالث في جدول ترتيب الدوري السعودي برصيد 57 نقطة.
فيما يتواجد ضمك في المركز الـ11 بجدول الترتيب برصيد 31 نقطة."
الدوري الإنجليزي,"كشف ميكيل أرتيتا مدرب أرسنال مستجدات إصابة لاعبه بوكايو ساكا.
وأصيب ساكا في فوز أرسنال على إبسويتش تاون 4-0 يوم الأحد ضمن الجولة 33 من الدوري الإنجليزي.
وقال أرتيتا في تصريحات للصحفيين: ""علينا أن ننتظر كيف يظهر ساكا في تدريبات الثلاثاء، ولكن لا يوجد شيء خطير"".
وأضاف المدرب الإسباني ""إذا أردنا الاستعانة بساكا أمام كريستال بالاس يوم الأربعاء ستكون هناك فرصة جيدة"".
ويحل كريستال بالاس ضيفا على المدفعجية ضمن الجولة 34 من الدوري الإنجليزي مساء الأربعاء.
وتابع أرتيتا ""الدفع بالبدلاء أمام كريستال بالاس؟ لا يمكنني التفكير بهذه الطريقة، في حالة جاهزية أي لاعب فيجب عليه اللعب"".
وخرج ساكا مصابا في الشوط الثاني متأثرا بتدخل عنيف من ليف ديفيز لاعب إبسويتش الذي تحصل على بطاقة حمراء.
وكان بوكايو قد عاد مؤخرا من إصابة طويلة أبعدته عن الملاعب لأكثر من 3 أشهر.
سيحاول أرسنال الحفاظ على نجمه قبل أسبوع من المواجهة المرتقبة ضد باريس سان جيرمان في ذهاب نصف نهائي دوري أبطال أوروبا."
الكرة المصرية,"تسلم النادي الأهلي مكافأة الحصول على لقب كأس القارات الثلاث بعد فوزه على العين الإماراتي.
وفاز الأهلي على العين 3-0 ليتوج بكأس بطولة أبطال القارات الثلاث آسيا وإفريقيا والمحيط الهادئ.
وحسبما علمFilGoal.comفإن الأهلي تسلم 2.5 مليون دولار مكافآة فوزه بكأس القارات الثلاث على حساب العين الإماراتي.
وينتظر الأهلي نهاية الشهر الجاري وصول قيمة الدفعة الأولى من مستحقاته نظير المشاركة في كأس العالم للأندية التي يصل مجموعها لـ 9.5 مليون دولار.
وسيتسلم الأهلي مبلغ الـ9.5 مليون دولار على دفعات تبدأ من نهاية شهر أبريل الجاري.
ويستعد الأهلي للمشاركة في بطولة كأس العالم للأندية المقرر اقامتها في الولايات المتحدة الأمريكية."
الكرة الأوروبية,"كشفت صحيفة تليجراف عن احتمالية إقالة أنجي بوستيكوجلو المدير الفني لـ توتنام.
وحسب صحيفة تليجراف فإن إقالة بوستيكوجلو واردة في أي حالة عقب انتهاء الموسم حتى إذا توج بالدوري الأوروبي.
ووصل توتنام إلى نصف نهائي الدوري الأوروبي بعد الفوز على أينتراخت فرانكفورت بهدفين مقابل هدف بمجموع المباراتين.
ويقدم مدرب سيلتك السابق موسما سيئا على المستوى المحلي.
ويحتل توتنام المركز الـ16 في جدول ترتيب الدوري الإنجليزي برصيد 37 نقطة."
الدوري الإنجليزي,"يعتقد روبن دياش مدافع مانشستر سيتي أن معركة التأهل لدوري أبطال أوروبا الموسم المقبل ستكون حامية الوطيس.
ويلعب مانشستر سيتي ضد أستون فيلا ضمن الجولة 34 يوم الثلاثاء في مباراة مرتقبة في هذا الصراع.
وقال روبن دياش في تصريحات نشرها موقع ناديه: ""ستكون المنافسة على التأهل لدروي الأبطال حامية، وفي النهاية سيحسمها من يرغب في التأهل أكثر"".
وأضاف ""نعلم أن المنافسة لن تكون سهلة، لكننا نناضل من أجل هذا التأهل، سنبذل قصارى جهدنا لتحقيق ذلك"".
وتابع البرتغالي ""لم يكن هذا أفضل موسم لنا على العديد من المستويات، لكننا نتعلم الدروس ونتطلع إلى المستقبل"".
ويسعى رفاق عمر مرموش لإنهاء الموسم ضمن المراكز الخمسة الأولى، وبالتالي ضمان التأهل لدوري أبطال أوروبا الموسم المقبل.
إذ يلعب مانشستر سيتي ضد كل من: أستون فيلا (داخل) - وولفرهامبتون (داخل) - ساوثامبتون (خارج) - بورنموث (داخل) - فولام (خارج)."
الدوري المصري,"أوضح مصدر مقرب من أحمد سيد ""زيزو"" لاعب الزمالك أنه لا يمانع استكمال الموسم مع الأبيض.
وقال المصدرلـFilGoal.com:""زيزو يتدرب بشكل مستمر في الوقت الحالي منتظرا تحديد موقفه مع الزمالك وهو لا يرفض استكمال الموسم مع الزمالك ولكن بعد الحصول على الضمانات المطلوبة"".
وأضاف ""في حالة عودته للتدريبات فهو جاهز لذلك وللمشاركة بشكل طبيعي في المباريات مع الزمالك، وإذا لم تحل الأزمة فسيكون جاهزا للمشاركة مع الفريق الجديد الذي سينتقل له في الموسم المقبل"".
وأتم تصريحاته ""زيزو لاعب محترف ويعرف كيف يحافظ على جاهزيته ويتدرب مع مدرب خاص بشكل يومي"".
كشف مصدر من نادي الزمالك في وقت سابقلـFilGoal.comعن حقيقة المستحقات المالية المتأخرة للاعب أحمد سيد زيزو، والتي يقدرها اللاعب بقرابة 73 مليون جنيه.
وقال المصدر في تصريحاته لـFilGoal.com: ""قيمة عقد اللاعب تبلغ 55 مليون جنيه بعد خصم الضرائب والرسوم المستحقة للدولة. إجمالي قيمة العقد بما يشمل الضرائب والرسوم تصل إلى 84 مليون جنيه وهو ما تم تدوينه في البند الأول كإجمالي لقيمة العقد عن المواسم الـ 3"".
وأضاف ""اللاعب يتقاضى 15 مليون جنيه في الموسم الأول، و20 في كل من الثاني والثالث، وذلك وفقا للبند الثامن من الشروط الخاصة، والذي يضمن حصول اللاعب على القيمة الصافية بعد خصم الضرائب حفاظا على حقوقه في حال حدوث أي زيادات مستقبلية في نسب الضرائب"".
وأوضح ""اللاعب ووكيله يحاولان إثارة البلبلة، حيث يطالب باعتبار البند الثامن كمكافأة إضافية، متغافلا أن هذا البند مجرد توضيح لقيمة العقد الإجمالية بعد الضرائب، وليس بندا مفصلا للمكافآت"".
وأكمل ""المستحقات المتأخرة للاعب عن الموسم الأخير تبلغ 9 ملايين جنيه قبل استقطاع الضرائب ونسبة المشاركة والعوائد الإعلانية التي يحق للنادي منها نسبة 20%، كما سيتم استقطاع مبالغ مالية نتيجة غياباته المتكررة"".
واختتم ""هذا المبلغ سيظل معلقاً لحين البت فيه من قبل الجهات المختصة، وفقا للوائح والقوانين المنظمة لهذا الشأن"".
وكان FilGoal.com قد كشفحقيقة سقوط مستحقات زيزو المُطالب بها بالتقادم. وكذلكتقدير زيزو للمكافآت الإضافية داخل العقد.
وينتهي تعاقد زيزو مع الزمالك بنهاية الموسم الجاري ويحق له الانتقال لأي فريق بشكل مجاني بداية من الموسم المقبل.
وقال مصدر مقرب من اللاعب لـFilGoal.com: اللاعب أرسل إنذارا للزمالك يطالب فيه بمستحقاته المتأخرة"".
وأضاف ""زيزو يرغب في الحصول على 50 مليون جنيه بنود إضافية في وجود المجلس السابق لم يحصل عليها إضافة إلى مستحقاته المتأخرة التي تتراوح من 16 إلى 20 مليون جنيه، فيما يرى الزمالك أن مستحقات اللاعب المتأخرة تبلغ 9 ملايين جنيه فقط"".
وكان الزمالك قدر أرسل خطابا مسجلا بعلم الوصول إلى أحمد سيد زيزو لاعب الفريق، لإخطاره بالتغيب عن حضور النادي لخوض التدريبات والمباريات منذ يوم 10 أبريل الجاري، وإبلاغه بالعقوبات الموقعة عليه بسبب هذا الغياب.(طالع التفاصيل)
وأعلن الزمالك في بيان في وقت سابق عن وصول العلاقة بينه وبين اللاعب إلى طريق مسدود ونهاية علاقته بالفريق عقب نهاية تعاقده.
كما أعلن مجلس إدارة نادي الزمالك من قبل تحويل زيزو للتحقيق نظرا للتصريحات الإعلامية المسيئة للنادي، وفقا لبيان النادي الأبيض.
قبلها كشف مصدر من النادي الأبيض عن استبعاد زيزو من مباراة ستيلينبوش الجنوب إفريقي في كأس الكونفدرالية، بعد علم مسؤولي النادي بتوقيعه للأهلي منذ 12 مارس."
الدوري المصري,"ينتظر نادي بيراميدز قرار مدربه كرونوسلاف يوريتشيتش بشأن تفعيل بند شراء صديق أوجولا.
ويلعب أوجولا مع بيراميدز على سبيل الإعارة قادما سيراميكا كليوباترا.
وحسبما علمFilGoal.comفإن قرار المدرب الكرواتي سيكون الحاسم بشأن تفعيل بند أحقية شراء أوجولا.
ويبلغ بند أحقية الشراء 2 مليون دولار وينتهي 30 أبريل الجاري، أي إذا لم يفعل بيراميدز البند قبل هذا الموعد فلن يتمكن من ضمه بهذا المبلغ.
ولعب أوجولا مع بيراميدز 20 مباراة خلال الموسم الجاري وتمكن من تسجيل 5 أهداف وصناعة 5 آخرين.
وتوج أوجولا بلقب كأس الرابطة المصرية على حساب فريق طلائع الجيش.
وبدأ أوجولا مسيرته في مصر مع سموحة إذ انضم له قادما من شوتينج ستارز النيجيري دون مقابل في صيف 2021.
وانتقل أوجولا إلى سيراميكا كليوباترا في صيف 2023 قبل أن يرحل إلى بيراميدز."
الكرة المصرية,"لا حديث يعلو فوق الحديث عن رحيل زيزو المؤكد من الزمالك والاقتراب من الانتقال إلى منافس الأبيض الأزلي الأهلي.
لكن كم مرة توجه الاهتمام إلى مستقبل الزمالك الإداري والكروي؟ بكل ثقة صفر، لا يوجد أي حديث عن مستقبل الزمالك الإداري، لماذا الإداري بالأخص؟ لأن ما يحدث في إدارات من قرارات حاسمة وتوفير الأجواء المساعدة للنجاح هو ما يطبق في أرض الملعب.
شبه مستحيل أن ينجح فريق في أرض الملعب بدون نجاح إداري، أعلم أن مشجع الزمالك سيقول حدثت من قبل مع فريقي كثيرا، لكن هذا يسمى استثناء، إلى متى ستذهب وراء الاستثناءات وتجعلها قواعد دون صناعة النظام الصارم حيث لا يوجد عاطفة؟
طيلة سنة ونصف الزمالك لا يملك المال لتجديد عقد زيزو الذي يعتبر بمثابة الوعد الانتخابي الأقوى لمجلس الإدارة الحالي، ثم عندما امتلك المال بعد رفض العديد من العروض الدولارية، كان زيزو قد ذهب بعيدا بسرعته الكبيرة، رغم جميع وعوده للجماهير، لنا عودة في هذه النقطة بالتحديد لاحقا.
تعاقبت وتغيرت إدارات الزمالك أكثر من عدد سنوات شاب عشريني، ولم تتعلم الدرس أبدا.
كم مرة راهنت إدارة الزمالك على ما يسمى انتماء ورغبة ووعود لاعب ما؟ منذ رضا عبد العال مرورا بمعتز إينو وطارق السعيد ومحمد صديق وإمام عاشور وحاليا يقترب زيزو.
العدد الصفر سيأتي إلى هنا مرة أخرى لأنه أكثر ما يمكن أن يعبر عن سوء إدارة الملفات، وليس ماليا فقط، لأني أعلم أن المشجعين العاطفيين سيوقولون لا يوجد المال اللازم أو اللاعب وعد بعدم رحيله للأهلي أو لن يرتدي قميص إلا الزمالك في مصر.
وفي النهاية تكتشف أنها وعود كاذبة، لكن أنت كمشجع من الممكن أن يتم خداعك من قبل اللاعب، لكن إدارة بحجم نادي مثل الزمالك، كيف يحدث ذلك؟
إذا يتم خداع إدارة الزمالك أكثر من مرة، فلماذا لا يدير مشجع ستيني للزمالك النادي لأنه يحبه دون أي مصلحة، لن يكون هناك أي فارق على الإطلاق، إذا كان المقدار هو ""الحب"".
الفارق بين الإدارة والمشجع، أن الأول يعلم مصلحة النادي أكثر كونه يعيش داخله ويعلم كيف يفكر هذا اللاعب وهذا المدرب.
عندما لا تتمكن من معرفة هذا الشيء ويتم خداعك من أي لاعب فعليك مراجعة عملك فورا، لأن هذا غير مقبول.
أكثر ما يحدث لصالح إدارة أي نادي أن غضب جماهيره ينصب فقط على اللاعب الذي يبحث عن مصلحته مهما كانت كلماته بحب النادي، لا تصدق اللاعب إلا عندما يعتزل، وهذا ما يطبق على أسطورة الزمالك وهدافه التاريخي عبد الحليم علي، الذي رفض قطعيا اللعب للأهلي بل لأي فريق مصري وفضل الاعتزال وظل في قلوب جميع مشجعي الزمالك ويحصل على تحية الجماهير في أي مناسبة.
نعود للاختباء، دون توجيه اللوم على الإدارة لن يحدث أي تطور للزمالك واليوم سيكون زيزو وغدا حسام وبعده محمد وهكذا، ستختلف الأسماء والسياسة المتبعة واحدة والرهان على لاعبين كرة القدم هي مهنتهم، وأنت لا تتبع طرق مختلفة، سوى أن هذا اللاعب خدعني، وذلك أقسم لي بعدم الرحيل، وآخر أقسم لي بنجلته بعدم لعبه لأي فريق غير الزمالك في مصر، هل هذا منطق؟
لا تحدث هذه الأشياء في أي ناد أو مؤسسة، حدة الكلمات تناسب عظمة الزمالك وتاريخه.
عندما نجح مجلس إدارة الزمالك في الانتخابات كان من المفترض أنه على علم بديون النادي والمشاكل التي يمر بها، كيف والمشجعين أنفسهم على علم بها!
في هذا الجانب، لا يوجد إلا حلين يقبلهم العقل، الحل الأول أن الإدارة لديها الحلول والأساليب السحرية للتغلب على هذه العقبة سواء بتحسين موارد النادي - الجملة التي يسمعها كل مشجع للزمالك طيلة حياته - أو ستتبع أسلوب علمي.
من الواضح أن الإدارة لا تملك الحل السحري والأسرع وهذا منطقي، ففي النهاية النادي ليس ملكية خاصة كي يصرف المالك ويحل الأمور.
لكن ما هو الحل الآخر؟ تتذكر عرض نادي نيوم من أجل زيزو الذي وصل إلى حوالي 6 ملايين دولار ورفضته إدارة الزمالك دون سبب منطقي، في هذا التوقيت ظن الجميع أن فقط أيام وسيجدد زيزو عقده وتنتهي هذه القصة أول عن آخر، لكنها كانت البداية.
الزمالك رفض العرض ولم يفعل أي شيء حتى شهر يناير الماضي وتلقى عرضا من الاتفاق السعودي حوالي 3 ملايين دولار ورفض أيضا، وسيرحل بنهاية الموسم الجاري مجانا.
دعني أقول لك إنني كنت رافضا لهذه العروض، لماذا؟ لأن طوال 3 فترات انتقالات صرف الزمالك الكثير من الأموال دون بناء فريق بجودة قوية، فريق الزمالك أضعف من الأهلي وبيراميدز فرديا وجماعيا.
التعاقد مع لاعبين أصحاب جودة ضعيفة وضم أكثر من 20 لاعبا ولا ينجح سوى 3-4 لاعبين، هذا ما جعل الجميع يرفض التفريط في زيزو، لأنك لا تستطيع التعاقد مع لاعبين أقوياء، وهذه وجهة نظر أتفق معها بشكل كامل.
ولكن ماذا لو كنت تملك لجنة التخطيط في وقت مبكر أو ما يساويها في عملها كمدير رياضي أو لجنة كرة، مهما كان المسمى؟ بالتأكيد بيع لاعب بهذا المبلغ الخيالي واستقطاب محترفين في قيمة أشرف بنشرقي وفرجاني ساسي وليس كونراد ميشالاك البولندي الكارثي.
بالتالي عندما كتبت أن المسألة ليس أموالا فقط، فأقصدها بالضبط، لأن لا توجد قاعدة بمن يصرف أكثر يفوز.
هذه الجملة ستنقلنا لناد بظروف مشابهة وعليه ديون بأكثر من 400 مليون يورو في وقت من الأوقات، ودائما ما يتبع رئيس هذا النادي هذه المقولة ويقولها كثيرا.
إذا قلت لك إن جيوزيبي ماروتا رحل من يوفنتوس بسبب رفضه التعاقد مع كريستيانو رونالدو ستقول ما هذا الجنون! رحل بسبب رفضه صفقة ضم رونالدو في أفضل أيامه من ريال مدريد إلى يوفنتوس؟ نعم رفضها وبسببها رحل.
ماروتا كان المدير الرياضي ليوفنتوس وقتها ورفض الصفقة كليا بسبب أنها ستؤثر على اقتصاد النادي وسيضطر لبيع أكثر من لاعب وبالتالي الجودة الجماعية ستنخفض وهذا أهم من امتلاك نجم وواحد من أفضل اللاعبين في تاريخ اللعبة مثل رونالدو، لأن كرة القدم لعبة جماعية وليست تنس.
رحل ماروتا، واغتنم الصيني ستيفين زهانج رئيس إنتر الفرصة ليقدم له عرض مقابل 3 ملايين يورو سنويا ويكون المدير الرياضي الأعلى أجرا في إيطاليا، ومقابل ذلك سيتحكم تحكم كلي في فريق كرة القدم بالنادي.
لم يحقق إنتر أي بطولة منذ 2011 حتى جاء ماروتا وسيطر على البطولات حتى جاءت جائحة كورونا، وتعرض إنتر بمالكه الصيني بأصعب ظروف مالية جعلته يترك لوكاكو وأشرف حكيمي والأهم أنطونيو كونتي المدرب.
هل سقط النادي؟ لا، بل فاز بالألقاب وبالدوري الـ19 مع كونتي والـ20 مع إنزاجي والوصول لنهائي دوري أبطال أوروبا 2023 بجانب عدة كؤوس إيطاليا والسوبر الإيطالي.
في هذه الفترة اعترضت جماهير إنتر واحتجوا أمام المقر الإداري لبيع لوكاكو وحكيمي ونجوم الفريق.
ماروتا رد قائلا على هذه الاعتراضات، ليس شرطا أن يفوز من يدفع أكثر، وتحققت هذه المقولة على أرض الملعب بالنتائج والأداء.
إنتر كان مديونا بأكثر من 400 مليون يورو واستمر بالتتويج بالبطولات تحت قيادة ماروتا الذي أصبح رئيس النادي حاليا.
ومن المتوقع أن خلال العام المالي الحالي أو المقبل أن تكون ميزانية إنتر بالإيجاب للمرة الأولى منذ سنوات عديدة مر خلالها بعقوبات كبيرة من الاتحاد الأوروبي لكرة القدم بسبب قانون اللعب المالي النظيف.
أي مر إنتر بظروف أصعب بكثير من الزمالك في الجانب المالي، لكن وجود إدارة ونظام في التعاقد مع اللاعبين وتعيين المدربين والإداريين تخطى إنتر هذه الصعاب.
هذا ما ينقص الزمالك في الأساس، لا تقول لاعبين أو مدربين أو أموال أو أو... فقط نظام إداري سيجعل كل شيء على ما يرام، وهذا ما يجب التركيز عليه من إدارة الفارس الأبيض، دون ذلك ستتكرر أزمة زيزو أكثر من مرة قريبا.
صحيفة كورييري ديلو سبورت نشرت عقب تأهل النيراتزوري لنصف نهائي دوري أبطال أوروبا أن أكثر 11 لاعبا يشارك في التشكيل الأساسي للفريق، هم ليسوا الأعلى قيمة سوقية في إيطاليا وليس أوروبيا حتى.
تشكيل إنتر الأساسي تبلغ قيمته السوقية 291 مليون يورو وهو رابع أكبر قيمة سوقية في إيطاليا، هل تتخيل هذا؟ يأتي يوفنتوس أولا بـ504 مليون يورو، ثم ميلان ثانيا بـ354.4 مليون يورو، وثالثا نابولي 350.4 مليون يورو.
أجرى أليساندرو باستوني حوارا بعد التأهل لنصف نهائي دوري أبطال أوروبا مع لا جازيتا ديلو سبورت وقال جملة تلخص الأمر: ""إنتر هو أقل الفرق الـ3 فرديا، لكن جماعيا يمكننا الفوز على أي فريق"".
هذه الجملة تعلمك أن عقلية ماروتا انتقلت إلى اللاعبين والفريق أن كرة القدم لعبة جماعية وليس بالأموال فقط، لكن بكيفية صرف الأموال القليلة التي تمتلكها، وهذا ما يفتقره الزمالك أكثر من الفقر المالي حقا.
